"regions","conf_cases","date"
"01 - Bas-Saint-Laurent",30,2020-04-07
"02 - Saguenay – Lac-Saint-Jean",103,2020-04-07
"03 - Capitale-Nationale",375,2020-04-07
"04 - Mauricie-et-Centre-du-Québec",589,2020-04-07
"05 - Estrie",570,2020-04-07
"06 - Montréal",4407,2020-04-07
"07 - Outaouais",129,2020-04-07
"08 - Abitibi-Témiscamingue",108,2020-04-07
"09 - Côte-Nord",71,2020-04-07
"10 - Nord-du-Québec",2,2020-04-07
"11 - Gaspésie-Îles-de-la-Madeleine",66,2020-04-07
"12 - Chaudière-Appalaches",181,2020-04-07
"13 - Laval",759,2020-04-07
"14 - Lanaudière",532,2020-04-07
"15 - Laurentides",447,2020-04-07
"16 - Montérégie",961,2020-04-07
"17 - Nunavik",5,2020-04-07
"18 - Terres-Cries-de-la-Baie-James",5,2020-04-07
"Outside Quebec",0,2020-04-07
"Region to be determined",0,2020-04-07
